ActivityID,StationID,Date_Tt,TP_mgL,PO4_mgL,NOx_mgL,TKN_mgL,NO3_mgL,NO2_mgL,TN_mgL,Bug_StationID,Type,Avg_NH_IBI_Score,Latitude,Longitude
2019-1793,00D-CORS,6/27/2019,0.00771,,,,,,,00D-CORS,Not_Available,,44.801123,-71.193262
2019-4454,00D-CORS,8/21/2019,0.0108,,0.089,,,,,00D-CORS,Not_Available,,44.801123,-71.193262
RV10180801,00E-CGB,10/18/2008,,0.005,,,0.55,,,,,,43.129989,-70.923442
RV09210703,00E-CGB,9/21/2007,,0.005,,,1.16,,,,,,43.129989,-70.923442
2008-4770,00E-CGB,8/15/2008,,0.011,,,0.64,,,,,,43.129989,-70.923442
T115-G-LF2,00E-SQM,9/21/2010,,0.003,0.01034894,,,,,,,,43.685639,-71.645171
T015-G-HF1,00E-SQM,5/17/2012,,0.002,0.09932623,,,,,,,,43.685639,-71.645171
T015-G1-LF1,00E-SQM,7/27/2010,,0.003,0.01994856,,,,,,,,43.685639,-71.645171
T104-G-LF2,00F-EBP,9/21/2010,,0.01395,0.18115696,,,,,,,,44.025415,-71.682763
M204-D-LF1,00F-EBP,7/27/2010,,0.01395,0.17716049,,,,,,,,44.025415,-71.682763
T004-G-HF1,00F-EBP,5/17/2012,,0.002,0.14475905,,,,,,,,44.025415,-71.682763
T004-G-LF1,00F-EBP,7/27/2010,,0.01395,0.18292181,,,,,,,,44.025415,-71.682763
2018-2179,00F-NFD,7/11/2018,0.00592,,,,,,,,,,43.589832,-71.733681
2011-2548,00F-NFD,7/26/2011,0.16,,,,,,,,,,43.589832,-71.733681
2011-3292,00F-NFD,8/16/2011,0.01,,,,,,,,,,43.589832,-71.733681
2011-1671,00F-NFD,7/5/2011,0.0054,,,,,,,,,,43.589832,-71.733681
2011-3684,00F-NFD,8/23/2011,0.0059,,,,,,,,,,43.589832,-71.733681
2011-4185,00F-NFD,9/13/2011,0.0059,,,,,,,,,,43.589832,-71.733681
2011-1434,00F-NFD,6/29/2011,0.0055,,,,,,,,,,43.589832,-71.733681
2018-4232,00F-NFD,8/22/2018,0.019,,,,,,,,,,43.589832,-71.733681
2011-3293,00F-NFD,8/16/2011,0.0095,,,,,,,,,,43.589832,-71.733681
2018-2493,00F-NFD,7/18/2018,0.00709,,,,,,,,,,43.589832,-71.733681
2018-4558,00F-NFD,8/29/2018,0.00512,,,,,,,,,,43.589832,-71.733681
2018-3335,00F-NFD,8/1/2018,0.00543,,,,,,,,,,43.589832,-71.733681
2018-3634,00F-NFD,8/8/2018,0.00675,,,,,,,,,,43.589832,-71.733681
2018-3334,00F-NFD,8/1/2018,0.00604,,,,,,,,,,43.589832,-71.733681
2011-1043,00F-NFD,6/21/2011,0.0058,,,,,,,,,,43.589832,-71.733681
2018-2909,00F-NFD,7/25/2018,0.00508,,,,,,,,,,43.589832,-71.733681
2018-3893,00F-NFD,8/15/2018,0.00701,,,,,,,,,,43.589832,-71.733681
A004751004,00G-BRA,6/10/2010,0.012,,,,,,,,,,43.468256,-70.980428
A006867003,00G-BRA,7/23/2010,0.014,,,0.4,,,,,,,43.468256,-70.980428
A008118004,00G-BRA,8/13/2010,0.0098,,,,,,,,,,43.468256,-70.980428
A504496001,00G-GRE,6/30/2015,0.0214,,0.9,,,,,NHSS-1096,Not_Available,35.898,43.04003,-72.456581
T046-G-LF1,00G-SNK,7/27/2010,,0.00465,0.08786008,,,,,94M-58,Not_Available,59.875,43.129785,-71.45812
T146-G-LF2,00G-SNK,9/21/2010,,0.013175,0.18115696,,,,,94M-58,Not_Available,59.875,43.129785,-71.45812
T046-G-HF1,00G-SNK,5/17/2012,,0.002,0.07574444,,,,,94M-58,Not_Available,59.875,43.129785,-71.45812
A508005003,00H-CLD,9/10/2015,0.00852,,,0.31,,,,,,,43.119411,-72.429525
2004-3709,00H-NUB,8/4/2004,0.017,0.01,0.05,0.3,,,0.35,,,,42.875603,-71.949633
2004-4125,00H-NUB,8/11/2004,0.014,0.008,0.06,0.3,,,0.36,,,,42.875603,-71.949633
2004-3700,00H-TWN,8/4/2004,0.022,0.01,0.22,0.3,,,0.52,,,,42.836969,-71.980647
2004-4116,00H-TWN,8/11/2004,0.017,0.007,0.34,0.3,,,0.64,,,,42.836969,-71.980647
RV08180103,00J-PRB,8/18/2001,,0.012,,,,0.009,,,,,43.135368,-70.923065
RV10200102,00J-PRB,10/20/2001,,0.041,,,0.671,,,,,,43.135368,-70.923065
RV10070509,00J-PRB,10/7/2005,,0.005,,,1.14,,,,,,43.135368,-70.923065
RV09210704,00J-PRB,9/21/2007,,0.005,,,0.92,,,,,,43.135368,-70.923065
RV06230102,00J-PRB,6/23/2001,,0.009,,,0.389,0.015,,,,,43.135368,-70.923065
2008-4771,00J-PRB,8/15/2008,,0.006,,,0.76,,,,,,43.135368,-70.923065
RV10180802,00J-PRB,10/18/2008,,0.005,,,0.37,,,,,,43.135368,-70.923065
RV07210102,00J-PRB,7/21/2001,,0.018,,,,,,,,,43.135368,-70.923065
2008-4777,00J-PRB,8/15/2008,,0.007,,,0.44,,,,,,43.135368,-70.923065
RV07080509,00J-PRB,7/8/2005,,0.005,,,1.01,,,,,,43.135368,-70.923065
RV09220102,00J-PRB,9/22/2001,,0.01,,,1.294,,,,,,43.135368,-70.923065
A010878002,00K-RND,10/24/2010,0.015,,,,,,,,,,42.957937,-71.779798
A110732002,00K-RND,11/6/2011,0.0092,,,,,,,,,,42.957937,-71.779798
A011016002,00K-RND,10/27/2010,0.029,,,,,,,,,,42.957937,-71.779798
2012-4686,00K-RND,9/21/2012,0.019,,,,,,,,,,42.957937,-71.779798
2011-4609,00K-RND,10/15/2011,0.042,,,,,,,,,,42.957937,-71.779798
2012-4681,00K-RND,9/5/2012,0.033,,,,,,,,,,42.957937,-71.779798
A403668003,00K-UAM,6/17/2014,0.0122,,0.097,,0.092,,,,,,44.591595,-71.52515
A405951003,00K-UAM,8/4/2014,0.0148,,0.088,,0.084,,,,,,44.591595,-71.52515
A404584003,00K-UAM,7/8/2014,0.01,,0.32,,0.32,,,,,,44.591595,-71.52515
2016-1428,00L-OTT,6/20/2016,0.0346,,0.27,0.36,0.26,,0.63,00L-OTT; 05C-11,Not_Available,68.534,44.48106,-71.54121
2016-2343,00L-OTT,7/11/2016,0.0271,,0.13,0.27,0.13,,0.4,00L-OTT; 05C-11,Not_Available,68.534,44.48106,-71.54121
2016-4164,00L-OTT,8/16/2016,0.0187,,0.098,,0.093,,,00L-OTT; 05C-11,Not_Available,68.534,44.48106,-71.54121
A607963001,00M-HOB,8/21/2006,0.059,,,0.6,,,,06p-102,Non-Ref,55.376,43.070903,-70.774192
A605264001,00M-HOB,7/14/2006,0.062,,,1.1,,,,06p-102,Non-Ref,55.376,43.070903,-70.774192
2008-4786,00M-HOB,8/21/2008,0.023,,0.28,0.43,,,0.71,06p-102,Non-Ref,55.376,43.070903,-70.774192
A706653001,00M-HOB,6/26/2007,,,0.28,0.57,,,0.85,06p-102,Non-Ref,55.376,43.070903,-70.774192
2006-1386,00M-HOB,6/13/2006,0.045,,0.36,0.3,,,0.66,06p-102,Non-Ref,55.376,43.070903,-70.774192
A606793001,00M-HOB,8/3/2006,0.053,,0.32,0.8,,,1.12,06p-102,Non-Ref,55.376,43.070903,-70.774192
A706653009,00M-HOB,6/26/2007,,,0.28,0.73,,,1.01,06p-102,Non-Ref,55.376,43.070903,-70.774192
A608023001,00M-HOB,8/21/2006,0.062,0.01,,0.53,,,,06p-102,Non-Ref,55.376,43.070903,-70.774192
A604345001,00M-HOB,6/29/2006,0.043,,0.27,0.9,,,1.17,06p-102,Non-Ref,55.376,43.070903,-70.774192
A707927001,00M-HOB,7/17/2007,,,0.17,0.65,,,0.82,06p-102,Non-Ref,55.376,43.070903,-70.774192
A603112001,00M-HOB,6/8/2006,,,,0.6,,,,06p-102,Non-Ref,55.376,43.070903,-70.774192
A605712001,00M-HOB,7/19/2006,0.07,,0.2,0.98,,,1.18,06p-102,Non-Ref,55.376,43.070903,-70.774192
A610974001,00M-HOB,10/25/2006,0.039,,,0.45,,,,06p-102,Non-Ref,55.376,43.070903,-70.774192
A601054001,00M-HOB,4/26/2006,0.024,,,,,,,06p-102,Non-Ref,55.376,43.070903,-70.774192
A009385001,00M-HOB,9/8/2010,0.031,,,,,,,06p-102,Non-Ref,55.376,43.070903,-70.774192
A30851-19,00M-PRG,9/19/2001,0.147,0.073,0.22,1.1,,,1.32,,,,42.849289,-71.690478
B604506003,00M-SMT,6/21/2016,0.0186,,0.22,,0.22,,,,,,43.567883,-71.731556
B607452004,00M-SMT,8/15/2016,0.0108,,0.13,,,,,,,,43.567883,-71.731556
2016-2348,00M-SMT,7/11/2016,0.0156,,0.15,0.31,0.15,,0.46,,,,43.567883,-71.731556
T022-G-LF1,00P-SMT,7/27/2010,,0.003,0.05876543,,,,,,,,43.567838,-71.73203
T122-G-LF2,00P-SMT,9/21/2010,,0.003,0.0937071,,,,,,,,43.567838,-71.73203
T022-G-HF1,00P-SMT,5/17/2012,,0.002,0.03961453,,,,,,,,43.567838,-71.73203
2012-4685,00R-RND,9/21/2012,0.015,,,,,,,,,,42.957409,-71.78302
A010878001,00R-RND,10/24/2010,0.012,,,,,,,,,,42.957409,-71.78302
A011016001,00R-RND,10/27/2010,0.015,,,,,,,,,,42.957409,-71.78302
A110732001,00R-RND,11/6/2011,0.0091,,,,,,,,,,42.957409,-71.78302
2012-4680,00R-RND,9/5/2012,0.022,,,,,,,,,,42.957409,-71.78302
2011-4608,00R-RND,10/15/2011,0.032,,,,,,,,,,42.957409,-71.78302
A30473-3,00T-PRG,9/12/2001,0.031,0.01,0.05,0.9,,,0.95,,,,42.852761,-71.693994
A30851-4,00T-PRG,9/19/2001,0.034,0.01,0.05,0.6,,,0.65,,,,42.852761,-71.693994
2013-4594,00T-SNK,9/2/2013,0.0218,,,,,,,,,,43.1306,-71.4547
2017-4558,00T-SNK,8/25/2017,0.0137,,,,,,,,,,43.1306,-71.4547
2013-3901,00T-SNK,8/14/2013,0.0199,,,,,,,,,,43.1306,-71.4547
2013-4826,00T-SNK,9/12/2013,0.0184,,,,,,,,,,43.1306,-71.4547
2013-4201,00T-SNK,8/21/2013,0.0179,,,,,,,,,,43.1306,-71.4547
2013-4772,00T-SNK,9/9/2013,0.0233,,,,,,,,,,43.1306,-71.4547
2013-4557,00T-SNK,8/30/2013,0.0133,,,,,,,,,,43.1306,-71.4547
2017-4893,00T-SNK,9/7/2017,0.0214,,,,,,,,,,43.1306,-71.4547
2013-4689,00T-SNK,9/5/2013,0.0189,,,,,,,,,,43.1306,-71.4547
A306224005,00T-SNK,7/31/2013,0.0235,,,,,,,,,,43.1306,-71.4547
2013-4827,00T-SNK,9/12/2013,0.0202,,,,,,,,,,43.1306,-71.4547
2017-3898,00T-SNK,8/11/2017,0.0166,,,,,,,,,,43.1306,-71.4547
2013-2834,00T-SNK,7/24/2013,0.048,,,,,,,,,,43.1306,-71.4547
2013-4492,00T-SNK,8/28/2013,0.0158,,,,,,,,,,43.1306,-71.4547
2009-3712,01-AHB,7/28/2009,0.026,,,,,,,,,,43.581324,-71.401558
RA07250002,01-AMM,7/25/2000,0.005,,,0.15,0.07,,,,,,44.154667,-72.036311
RA07050002,01-AMM,7/5/2000,0.012,,,0.31,0.15,,,,,,44.154667,-72.036311
RA08220002,01-AMM,8/22/2000,0.008,,,0.18,0.05,,,,,,44.154667,-72.036311
RA08140001,01-AND,8/14/2000,0.058,,,0.34,0.18,,,,,,44.39806,-70.971596
2019-4073,01-AND,8/14/2019,0.0115,,,,,,,,,,44.39806,-70.971596
2007-1996,01-AND,6/28/2007,0.013,,0.08,0.3,,,0.38,,,,44.39806,-70.971596
RA08210203,01-AND,8/21/2002,0.012,,,0.2,,,,,,,44.39806,-70.971596
2016-4310,01-AND,8/18/2016,0.0085,,0.077,,0.07,,,,,,44.39806,-70.971596
2005-4377,01-AND,8/10/2005,0.018,,,0.3,,,,,,,44.39806,-70.971596
2017-4059,01-AND,8/15/2017,0.00899,,0.054,,0.05,,,,,,44.39806,-70.971596
A400367001,01-AND,1/27/2014,0.00765,,0.093,,,,,,,,44.39806,-70.971596
2008-3145,01-AND,7/21/2008,0.023,,0.06,0.29,,,0.35,,,,44.39806,-70.971596
A61082-5,01-AND,7/24/2003,0.035,,0.08,,,,,,,,44.39806,-70.971596
2012-1383,01-AND,6/21/2012,0.012,,0.065,0.37,,,0.435,,,,44.39806,-70.971596
2006-1499,01-AND,6/15/2006,0.013,,,,,,,,,,44.39806,-70.971596
2016-5405,01-AND,10/20/2016,0.00851,,,,,,,,,,44.39806,-70.971596
2020-980,01-AND,7/15/2020,0.0229,,,0.25,,,,,,,44.39806,-70.971596
A304072001,01-AND,6/18/2013,0.00761,,,,,,,,,,44.39806,-70.971596
2019-5289,01-AND,10/17/2019,0.062,,,0.48,,,,,,,44.39806,-70.971596
2020-1437,01-AND,8/12/2020,0.00922,,0.051,,,,,,,,44.39806,-70.971596
RA06210201,01-AND,6/21/2002,0.012,,,0.6,,,,,,,44.39806,-70.971596
2007-3208,01-AND,7/26/2007,0.014,,0.07,0.32,,,0.39,,,,44.39806,-70.971596
2018-3948,01-AND,8/15/2018,0.00828,,0.054,,,,,,,,44.39806,-70.971596
A305403001,01-AND,7/15/2013,0.0103,,0.066,,0.057,,,,,,44.39806,-70.971596
2006-4332,01-AND,8/10/2006,0.014,,0.11,0.3,,,0.41,,,,44.39806,-70.971596
2004-3926,01-AND,8/10/2004,0.022,,0.08,0.3,,,0.38,,,,44.39806,-70.971596
A405012001,01-AND,7/16/2014,0.00957,,0.083,,0.08,,,,,,44.39806,-70.971596
2004-1278,01-AND,6/16/2004,0.016,,0.11,,,,,,,,44.39806,-70.971596
2009-1910,01-AND,6/25/2009,0.01,,,,,,,,,,44.39806,-70.971596
2015-2814,01-AND,7/22/2015,0.0103,,0.07,0.65,0.069,,0.72,,,,44.39806,-70.971596
2015-3967,01-AND,8/18/2015,0.00989,,0.067,0.26,,,0.327,,,,44.39806,-70.971596
2011-1210,01-AND,6/23/2011,0.012,,0.073,,,,,,,,44.39806,-70.971596
2017-2707,01-AND,7/19/2017,0.0106,,0.067,,0.062,,,,,,44.39806,-70.971596
2008-5208,01-AND,8/27/2008,0.0087,,0.067,,,,,,,,44.39806,-70.971596
2018-167,01-AND,4/3/2018,0.0141,,0.11,,0.11,,,,,,44.39806,-70.971596
2011-2261,01-AND,7/21/2011,0.013,,0.053,,,,,,,,44.39806,-70.971596
2006-2872,01-AND,7/13/2006,0.018,,0.16,,,,,,,,44.39806,-70.971596
2007-4799,01-AND,8/30/2007,0.013,,0.07,,,,,,,,44.39806,-70.971596
2020-119,01-AND,2/12/2020,0.0076,,0.057,,0.056,,,,,,44.39806,-70.971596
2004-2521,01-AND,7/14/2004,0.019,,0.12,0.5,,,0.62,,,,44.39806,-70.971596
A62842-2,01-AND,8/19/2003,0.035,,0.06,0.3,,,0.36,,,,44.39806,-70.971596
2010-4113,01-AND,8/19/2010,0.0088,,0.051,,,,,,,,44.39806,-70.971596
2009-3378,01-AND,7/23/2009,0.011,,0.057,,,,,,,,44.39806,-70.971596
2015-254,01-AND,4/7/2015,0.0146,,0.15,,,,,,,,44.39806,-70.971596
RA07240101,01-AND,7/24/2001,0.047,,,0.3,0.09,,,,,,44.39806,-70.971596
2012-2900,01-AND,7/26/2012,0.01,,0.093,,,,,,,,44.39806,-70.971596
2012-4134,01-AND,8/27/2012,0.0089,,0.063,,,,,,,,44.39806,-70.971596
2018-2484,01-AND,7/17/2018,0.00726,,0.05,,,,,,,,44.39806,-70.971596
A306767001,01-AND,8/12/2013,0.00952,,0.055,0.32,,,0.375,,,,44.39806,-70.971596
2018-1178,01-AND,6/19/2018,0.0123,,0.084,0.25,0.078,,0.334,,,,44.39806,-70.971596
A406787001,01-AND,8/19/2014,0.011,,0.074,,,,,,,,44.39806,-70.971596
2019-2638,01-AND,7/17/2019,0.0116,,0.076,0.29,0.073,,0.366,,,,44.39806,-70.971596
2016-2495,01-AND,7/13/2016,0.0108,,0.08,,0.076,,,,,,44.39806,-70.971596
RA07240002,01-AND,7/24/2000,0.059,,,0.27,0.15,,,,,,44.39806,-70.971596
2019-1140,01-AND,6/18/2019,0.0113,,,,,,,,,,44.39806,-70.971596
2010-2862,01-AND,7/22/2010,0.011,,0.061,,,,,,,,44.39806,-70.971596
2012-1386,01-AND,6/21/2012,0.012,,0.058,0.32,,,0.378,,,,44.39806,-70.971596
2010-1519,01-AND,6/24/2010,0.013,,0.055,,,,,,,,44.39806,-70.971596
2017-4060,01-AND,8/15/2017,0.0095,,0.057,,0.051,,,,,,44.39806,-70.971596
A308755001,01-AND,10/9/2013,0.00932,,,,,,,,,,44.39806,-70.971596
A61082-4,01-AND,7/24/2003,0.038,,0.08,,,,,,,,44.39806,-70.971596
2016-1587,01-AND,6/22/2016,0.0112,,0.059,,0.055,,,,,,44.39806,-70.971596
RA06270002,01-AND,6/27/2000,0.042,,,0.19,0.13,,,,,,44.39806,-70.971596
2017-1362,01-AND,6/21/2017,0.0103,,0.065,,0.062,,,,,,44.39806,-70.971596
2008-1718,01-AND,6/23/2008,0.015,,0.065,0.35,,,0.415,,,,44.39806,-70.971596
RA08220101,01-AND,8/22/2001,0.27,,,0.3,0.13,,,,,,44.39806,-70.971596
2009-4646,01-AND,8/17/2009,0.012,,0.05,,,,,,,,44.39806,-70.971596
2020-566,01-AND,6/17/2020,0.0164,,0.053,,,,,,,,44.39806,-70.971596
RA07180201,01-AND,7/18/2002,0.019,,,0.25,,,,,,,44.39806,-70.971596
RA06190101,01-AND,6/19/2001,0.054,,,0.39,0.13,,,,,,44.39806,-70.971596
2005-2914,01-AND,7/13/2005,0.021,,0.08,0.4,,,0.48,,,,44.39806,-70.971596
2015-1550,01-AND,6/24/2015,0.0233,,,,,,,,,,44.39806,-70.971596
A59219-1,01-AND,6/26/2003,,,0.07,0.3,,,0.37,,,,44.39806,-70.971596
2005-1674,01-AND,6/15/2005,,,0.05,0.5,,,0.55,,,,44.39806,-70.971596
A404056001,01-AND,6/25/2014,0.0106,,0.08,0.28,,,0.36,,,,44.39806,-70.971596
RA08140002,01-ART,8/14/2000,0.005,,,0.14,0.29,,,,,,44.044589,-71.124767
RA07240001,01-ART,7/24/2000,0.005,,,0.1,0.27,,,,,,44.044589,-71.124767
RA06270001,01-ART,6/27/2000,0.008,,,0.1,0.26,,,,,,44.044589,-71.124767
A94229-4,01-ASH,7/23/2005,0.041,,,,,,,,,,42.779742,-72.490036
2009-2065,01-ASH,6/23/2009,0.027,,,,,,,,,,42.779742,-72.490036
2012-2462,01-ASH,7/17/2012,0.024,,0.31,,,,,,,,42.779742,-72.490036
A810230010,01-ASH,9/15/2008,0.026,,,,,,,,,,42.779742,-72.490036
2016-5127,01-ASH,9/13/2016,0.0206,,,,,,,,,,42.779742,-72.490036
2015-3991,01-ASH,8/18/2015,0.0249,,,,,,,,,,42.779742,-72.490036
RV05170311,01-ASH,5/17/2003,0.023,,,,,,,,,,42.779742,-72.490036
A602172010,01-ASH,5/20/2006,0.033,,,,,,,,,,42.779742,-72.490036
2018-4053,01-ASH,8/14/2018,0.0269,,,,,,,,,,42.779742,-72.490036
2012-4494,01-ASH,9/11/2012,0.019,,,0.3,,,,,,,42.779742,-72.490036
A74326-10,01-ASH,5/22/2004,0.033,,,,,,,,,,42.779742,-72.490036
2009-4900,01-ASH,8/18/2009,0.027,,,,,,,,,,42.779742,-72.490036
A75862-11,01-ASH,6/19/2004,0.039,,,,,,,,,,42.779742,-72.490036
2012-1564,01-ASH,6/26/2012,0.022,,0.22,0.36,,,0.58,,,,42.779742,-72.490036
A307255015,01-ASH,8/20/2013,0.0162,,,,,,,,,,42.779742,-72.490036
A92157-10,01-ASH,6/18/2005,0.046,,,,,,,,,,42.779742,-72.490036
2019-3026,01-ASH,7/23/2019,0.0306,,,,,,,,,,42.779742,-72.490036
A608279012,01-ASH,8/22/2006,0.04,,,,,,,,,,42.779742,-72.490036
RV05190101,01-ASH,5/19/2001,0.018,,,,,,,,,,42.779742,-72.490036
B606074015,01-ASH,7/19/2016,0.0193,,,,,,,,,,42.779742,-72.490036
2010-2811,01-ASH,7/20/2010,0.034,,,,,,,,,,42.779742,-72.490036
2017-5037,01-ASH,9/12/2017,0.0128,,,,,,,,,,42.779742,-72.490036
B607569015,01-ASH,8/16/2016,0.03,,,,,,,,,,42.779742,-72.490036
RV06160101,01-ASH,6/16/2001,0.033,,,,,,,,,,42.779742,-72.490036
RV09130310,01-ASH,9/13/2003,0.042,,,,,,,,,,42.779742,-72.490036
A308281015,01-ASH,9/17/2013,0.0549,,,,,,,,,,42.779742,-72.490036
2015-4771,01-ASH,9/15/2015,0.0274,,,,,,,,,,42.779742,-72.490036
2019-4409,01-ASH,8/20/2019,0.0168,,,,,,,,,,42.779742,-72.490036
RV06280317,01-ASH,6/28/2003,0.045,,,,,,,,,,42.779742,-72.490036
A405291015,01-ASH,7/22/2014,0.0166,,,,,,,,,,42.779742,-72.490036
RV07170410,01-ASH,7/17/2004,0.059,,,,,,,,,,42.779742,-72.490036
2010-4861,01-ASH,9/14/2010,0.021,,,,,,,,,,42.779742,-72.490036
2011-4319,01-ASH,9/13/2011,0.025,,,,,,,,,,42.779742,-72.490036
